,authorChannelUrl,text,offensive/non offensive,Algerian Dialect
44,http://www.youtube.com/channel/UCZuPSu95gxFd-RjCwkmLDOw,الخاتم في الشاهد تداعى بانها مسلمة,1.0,1.0
45,http://www.youtube.com/channel/UCfLiYXwngVanirv-IGCOfOQ,وش جاب حسيبة بن بوعلي الى كلاش يوبي,1.0,1.0
46,http://www.youtube.com/channel/UCrHtjkG_KzhZR0BVGjpBV7Q,صليب صليب,1.0,1.0
47,http://www.youtube.com/channel/UCzqexPqF8H2HjMh1_Ysxo7g,ترقصي مليح,1.0,1.0
48,http://www.youtube.com/channel/UCruUh8mk3uJa5X-Ok1tK7dw,شكون شاف السنسلة لي راهي دايرتها فيها لاكروا,0.0,1.0
49,http://www.youtube.com/channel/UC0rFRqaEF7gLcmPhH5js7Tg,راهي تهدر على لي ستشفاو شبيكم هكا والله هدرتها كامل صح انا صح ما تعجبنيش بزاف كي زواخة مي جونتي والله انا طفلة مي الموت ما تعطيش الراحة كاين عذاب القبر,1.0,1.0
50,http://www.youtube.com/channel/UCXZk550SnHZY0MvBp_aDQSw,نتي مسيحية ولا مسلمة سلسلة تاعك فيها صليب ولا انا مانيش فاهم,0.0,1.0
51,http://www.youtube.com/channel/UChbVhwF1jMI6B_5hIIbqKZQ,عندها الحق في هذي,0.0,1.0
52,http://www.youtube.com/channel/UCk8D_loxUMRvw84WZ8WwoRQ,اقسم بالله غير بحطبة متوشيهاش ماتسوا نبشة من مراة متحجبة,1.0,1.0
53,http://www.youtube.com/channel/UCZ0iUyrpPhNTWDiDj_ikc3g,هي غلطت كي جمعت برك كون قالت البعض وهكدا مايلوموهاش بصح هاجو عليها خاطر علبالهم بلي صح بزاف كما راها تقول,0.0,1.0
54,http://www.youtube.com/channel/UC4-aY1TaoTw-RWFjWeP00_A,شوفي جبهتك اا نعناعة حاشاك قاعدة تهدري على الجزايريين نت تلحقيهم,1.0,1.0
55,http://www.youtube.com/channel/UCZPSgpMl6w2qen7sIulcD2Q,بف,1.0,1.0
56,http://www.youtube.com/channel/UCABmoKUgrsRnVwAMUeLNGSQ,الموت تعطي راحة للمومن ماش للحثالة اللي كيفك قبح الله وجوه المعاصي,1.0,1.0
57,http://www.youtube.com/channel/UC922HvJFLx2IDC-JOumvmzg,راهي لبس لكروا مشي,0.0,1.0
58,http://www.youtube.com/channel/UC6NXnuKQt1MD2UikeQxvt6A,شعب الجزاير تاع كلمة وهاذوا لي حاموا على بلادك فم كبير,0.0,1.0
59,http://www.youtube.com/channel/UC6NXnuKQt1MD2UikeQxvt6A,الله يهديك,0.0,1.0
60,http://www.youtube.com/channel/UCVSvwf0TEze8GFhaHI1rO7A,صح عندها الحق,0.0,1.0
61,http://www.youtube.com/channel/UC7He4tg6t3pVtZ3EwCslGjQ,هذا وين لقيت واحد يفهمني ايه صح عندها حق وهذا واقع لي رانا عايشينو للاسف,0.0,1.0
62,http://www.youtube.com/channel/UCGUfzU9DH0M11rxMFG9ehcw,تحيا ولاد بلادي,0.0,1.0
63,http://www.youtube.com/channel/UCupUN6iLvvN-rcmAoF_0RRA,راهى تقول كلام صواب عندها الحق كامل واش قالت متحبوش تسمعو الحق تحبو تغطو الشمس بلغربال المهم هي مخسرتش انتو الى تحبو تخبو الصح برافو مونية قلتى الحق,0.0,1.0
64,http://www.youtube.com/channel/UCcaHEhFZtajgt7Getb8Iodg,رخاس اشباه الرجال الي عايشين في الجزاير وصح الي عايشين في الجزاير ماشي مسلمين,1.0,1.0
65,http://www.youtube.com/channel/UCcaHEhFZtajgt7Getb8Iodg,كلام صح,0.0,1.0
66,http://www.youtube.com/channel/UCb-Wjf8A8WiNyPpXNY2iWrg,حبهت تحرير اعطيناكي عهدا,1.0,1.0
67,http://www.youtube.com/channel/UCoKFeXC5PbTTd_0Ncm0Kp4Q,تقلقي عندك اسلوب فالكلام اكره سمحيلي لزم تروحي تترباي,1.0,1.0
68,http://www.youtube.com/channel/UC7lJHSc9Kz9XYi2OSWuKFwg,والله كيف تضحكي تخلعيني فم كبير بزاف سوره تضحكي ضحكه طويله بزاف شاربك ديال الحق الواد والله غير فمك نحسو تينار,1.0,1.0
69,http://www.youtube.com/channel/UCJUd1xvHjMzyFuZtZmnyT3Q,والله غير اكبر مكبوت هي نتي تڨول خرجت من الحبس,1.0,1.0
70,http://www.youtube.com/channel/UCAfa3XStYbBiOY9IGAW4faQ,بلعقل على هادوك العنين,0.0,1.0
71,http://www.youtube.com/channel/UC5if2vWZjRxFaly_z_jE5zA,قاتلك مكانش ديفيرونس بين العريانة ولي لابسة جلباب فهموها فهموها انا منعرفش نهدر كي نقلق,1.0,1.0
72,http://www.youtube.com/channel/UCwWx1yt1s30LVWe182Xu8Gg,قالت بالنسبة للمغتصب لايوجد عنده فرق,0.0,1.0
73,http://www.youtube.com/channel/UC5RfyRg0ac6N91ODqXTO7sw,كون جيتي مرا ماتهدري هدي الهدرة على بلادك,1.0,1.0
74,http://www.youtube.com/channel/UCbAH15flKqQsTt9Aozu-6BQ,ماتقدري الديري والو كي تكثري نحي السروال,1.0,1.0
75,http://www.youtube.com/channel/UCMhxt_owzq08L1_hML09Kfw,قبيحة شيطانة,1.0,1.0
76,http://www.youtube.com/channel/UCGUc0Ee5joyqPACor9lY8EA,صليب,1.0,1.0
77,http://www.youtube.com/channel/UCXZHJisiSSzWENO8m3MjKkA,تناقض لا ينتهي منى الطيح وتقول لشعب مكبوت امبعد تقول الدين اخلاق هه,1.0,1.0
78,http://www.youtube.com/channel/UCR34ZqzNVlVQj2WabPWz9wg,ياخاه تعيي دايرة روحها فاهمة,1.0,1.0
79,http://www.youtube.com/channel/UCJwTSPTL3a8GfSN9O5d9seQ,نكرها هاذي تقول راني معيشها,1.0,1.0
80,http://www.youtube.com/channel/UCmarKQQG7JlEQRt2s5H8SNw,عقرب,1.0,1.0
81,http://www.youtube.com/channel/UCCyLxLU1HNYpKa1HuHU6qfA,دايرة مسيحية,1.0,1.0
82,http://www.youtube.com/channel/UCFmMC2qkFydGC84tBfUHZNQ,عندها الحق كاين كلام زايد لكن عندها الحق تدافع على الضحايا,0.0,1.0
83,http://www.youtube.com/channel/UCzb5oNAFwnxyC2NIznhnioQ,عندها الحق بصح ماشي ڨاع الرجال,0.0,1.0
84,http://www.youtube.com/channel/UCzIVpu0CZz6vgTtUhFuHBng,هدري نيشان يا العڨونى,1.0,1.0
85,http://www.youtube.com/channel/UCOHSOo5XCRzHcOHKkgZMp3w,والله متحشمي صحيحة الوجه الله لاتربحك,1.0,1.0
86,http://www.youtube.com/channel/UCR18lDCZ6nsYZhGnCaxKjog,قالت الحقيقة او جزء من الحقيقة او حتی لم تصب فهاته وجهة نظرها لماذا كل هاذا التخوين,0.0,1.0
87,http://www.youtube.com/channel/UCKJWpzLAyS_kGkEQ-inb6OA,تحكي على الاسلام ماشك تبقي فيه حاب نفهم حاجة شكون لي قالبك ممثل انت اكي متجيش انسان و مرة جاي تعلمي اهدري باش تنصحي,1.0,1.0
88,http://www.youtube.com/channel/UC_ezUZv_8IPc1xVsqILLuWw,ماكيش غاطة حبيبتي نحبك موت عليك,0.0,1.0
89,http://www.youtube.com/channel/UC073NsBUz7_cuEZr9of5bJA,وانا جيت اليوم نقولك بصحتنا مش راح نشوفو كمارتك في هذا رمضان,1.0,1.0
90,http://www.youtube.com/channel/UCayiwxkfXj-L13ty4Itpixw,ننياا ماتسوايش ڨاع في هاد الدنيا,1.0,1.0
91,http://www.youtube.com/channel/UC7QSS8Avq7Wultci39MWZKQ,الفديو تاعك معرض للحذف نضرا لتفوق الديسلايك,0.0,1.0
92,http://www.youtube.com/channel/UCjzeYkTUXwY7bKV3GYp4NOw,تفو,1.0,1.0
93,http://www.youtube.com/channel/UCtH0M0OLIoSakrbh-VQBhzA,الله يلعن,1.0,1.0
94,http://www.youtube.com/channel/UCtH0M0OLIoSakrbh-VQBhzA,انتي ماشي مسلمة,1.0,1.0
95,http://www.youtube.com/channel/UCtH0M0OLIoSakrbh-VQBhzA,واش دخلك,1.0,1.0
96,http://www.youtube.com/channel/UCyDqdH1LTQvsT20-WpgLyVg,كي تسترو رواحك وتقلو رواحك مايجيكم حتا واحد,1.0,1.0
97,http://www.youtube.com/channel/UCg7NNZRHbm62gToVXclWdpQ,واش حسبة روحك ويلا,1.0,1.0
98,http://www.youtube.com/channel/UCTv9NwtP41N9Dez1uxJhLWA,نقصي من المايكياج نشوفو وجهك وجه معاد كيما يقولك,1.0,1.0
99,http://www.youtube.com/channel/UCpPxbQ1PggrRENJGOFmZp1A,سترا هي حل حتى اكثر مضطربين متحرشين لن يتحرشو بي بنت مستورة جامي صرات عندنا وحدة مستورة تبلوها حنا نتبلو غير فوحة كم انت,1.0,1.0
100,http://www.youtube.com/channel/UCU1DPYJw-fdbwvCtitMKhAg,روحي انصحي روحك,1.0,1.0
101,http://www.youtube.com/channel/UCVttkYVQfGPpdKvtDxxx5bg,كافيا تاع الصح,1.0,1.0
102,http://www.youtube.com/channel/UCBzlFJdFB5JUnFFBtQ3-R2w,بلعي بلعي بلعي ه جبهتك قد الكرة الارضيةهعه,1.0,1.0
103,http://www.youtube.com/channel/UCBzlFJdFB5JUnFFBtQ3-R2w,هاوالله لوكان جات شابا لاقلنا معليش بصح هي والضيع كيف كيف ه,1.0,1.0
104,http://www.youtube.com/channel/UCor6bZLmCOmjwj-4U3tkeAw,والله غير جبتيها,0.0,1.0
105,http://www.youtube.com/channel/UCFBftpfhhxHsDtmWkBvQCQA,قالك واحد حب ايولي مشهور ديرو عليه قالولو روح اخرى في تالة راح خرا,1.0,1.0
106,http://www.youtube.com/channel/UCkfWe_muaDYjB4PZtHZPIUg,معليش نسقسيك واش كي تموتي واش نستروك ولا لا,1.0,1.0
107,http://www.youtube.com/channel/UC7oO0w9fTmoNN6gR0DXZuHg,كيلو ماكياج,1.0,1.0
108,http://www.youtube.com/channel/UC4jWkMlnVLduIqIskqZKNBQ,جبهتك قد مطار هواري بومدين,1.0,1.0
109,http://www.youtube.com/channel/UC3GKXkrXvA8K45jy6-0LF5A,الكحل ديرة حتى الوذنه,1.0,1.0
110,http://www.youtube.com/channel/UCc490ogxfpaL6sw8N-o4CGA,كلامها صحيح,0.0,1.0
111,http://www.youtube.com/channel/UCQ9O_4uTJzxgDz05nwAG9uA,بلعي فمك لانجي بلعوهولك ڤدقد,1.0,1.0
112,http://www.youtube.com/channel/UC9h6_27QtYn45hiyVLtfW_A,اتربي,1.0,1.0
113,http://www.youtube.com/channel/UC9h6_27QtYn45hiyVLtfW_A,غول مشي مربيا,1.0,1.0
114,http://www.youtube.com/channel/UC9h6_27QtYn45hiyVLtfW_A,كلاب,1.0,1.0
115,http://www.youtube.com/channel/UCWUFAVFzpjtx7vnTgg9bESw,سمحيلي بصح قمح مشرك,1.0,1.0
116,http://www.youtube.com/channel/UC-Ue098NMLxuVh75VWDKjgQ,كنشوفك كشغل شت العدس بالبن او ديجا البن بالعدس خرمنك,1.0,1.0
117,http://www.youtube.com/channel/UC-Ue098NMLxuVh75VWDKjgQ,انتي لمسلمة الله يبارك جامي شت مومنة كيما نتي,1.0,1.0
118,http://www.youtube.com/channel/UC-Ue098NMLxuVh75VWDKjgQ,واحد مسقساك روحي تترباي قبل,1.0,1.0
119,http://www.youtube.com/channel/UCvz3IA2AoB-4w0xr0SQQchA,روحي ستري لحمك وتوبي لربي سبحان,1.0,1.0
120,http://www.youtube.com/channel/UCcdvKdiUt5azM80Y7xST3OA,حش خلق ربي فمك كبير قديريها ربي يهديك,1.0,1.0
121,http://www.youtube.com/channel/UCfEifrafC4qbOUmXyVnHp_g,هيه راهي عندها حق,0.0,1.0
122,http://www.youtube.com/channel/UCd41PrxCMtMd6ceivrM3G3w,عندك الحق,0.0,1.0
123,http://www.youtube.com/channel/UC-aDqWhEpKpNM5_KuH4PPUg,احترمي روحك وكي تشدي فمك نقلدوك,1.0,1.0
124,http://www.youtube.com/channel/UCwswo_Hzo3nvVfelqW1jTWg,هادي بنت فرنسا رسمي فهمي نظمي,1.0,1.0
125,http://www.youtube.com/channel/UCyk2-WUrIHMJh7nHLszc7Og,عندها لحق لوكان ما غلطتش برك قالت ناس كامل مكبوتين,0.0,1.0
126,http://www.youtube.com/channel/UC18nh_iYFRSGKZt7IJD_LBg,استر روحك ومبعد علمينا الدين,1.0,1.0
127,http://www.youtube.com/channel/UCX4lL0KFFz2X1MMtCgRKvrA,راهم قاصفوك تراب كينغ وجليل با ليرموا,0.0,1.0
128,http://www.youtube.com/channel/UCGNgp67h-vbwMG4-d3qYVPw,بن غول نحكمك نقطعك شريكي,1.0,1.0
129,http://www.youtube.com/channel/UCAj6vGSJ3QrL56yYUzsZwSg,روحي تعلمي واش معنتها الاسلام ومبعد هدري,1.0,1.0
130,http://www.youtube.com/channel/UC-Ue098NMLxuVh75VWDKjgQ,روحي تخراي لوكان غير حرقك انتي خمجتنا الجزاءر والله متحشمي خامجة,1.0,1.0
131,http://www.youtube.com/channel/UCEhSlASzJbJoqf94awTX9lg,الجزايريين عايشين فلسيويس فرنسا اطاليا كل العالم شلون يعني يريڨو مكبوتين مخلوعين,1.0,1.0
132,http://www.youtube.com/channel/UC7TlQIf2IiWR4pAZqCe7EWg,قالت الحقيقة واللى ماعجبوش الحال ايدز معاهم اوزيد كاش انهار شفتو عبد امنارفى ايخير واش يحكي تانى ما قالت والو تعلمتيو اللى يتقاس يعانى وحدو ويعود هو الافة المنبود واللى ايدير عملة مادار والو,0.0,1.0
133,http://www.youtube.com/channel/UCDGLcwaeYF8Pzl7GykaM08A,وجهك صحيح تهدري,1.0,1.0
134,http://www.youtube.com/channel/UCw5YYZhKLolc6_9p-5A4xuw,انا طفلة صغيرة جزايرية كنت نحبك بصح كهنت بلادي كشغل هنتيني علا بلك الدمعة طحتلي,1.0,1.0
135,http://www.youtube.com/channel/UCkg-MqjcACpROMj-RHnE90w,كون تبلعي فمك كامل خير يا الحلوفة كي قلتي الدين والاسلام ما نعرت شتاوالا شا دخل الصغار في هذي وزيد على هدي تعايري المتحجبات وتقوليلهم حيوانات ياو شوفي روحك اللي راكي دايرة 5 كيلو ماكياج,1.0,1.0
136,http://www.youtube.com/channel/UCgN4sbRYfBEeOn-y3fP1TEg,انا كي نشوفك نبغي نتقيا,1.0,1.0
137,http://www.youtube.com/channel/UCgN4sbRYfBEeOn-y3fP1TEg,انتي معندكش حق تحكي على الناس,0.0,1.0
138,http://www.youtube.com/channel/UCk-VA5hzUI6m4g5XKxRd7OA,نت سوسيل تربي وراوحي اهدري,1.0,1.0
139,http://www.youtube.com/channel/UCI_1jf0dFY4xXQ-kEon5ukg,الي ماتحشميش روحي عسي روحك او مبعد ارواحي عسينا متحشميش راكي تعايري في بلادك يا طاطا فهمتي فان الجزايريين خير منك الف مرة فهمتي يا لي قاع ناس عايروك وما خليتي فينا والو يالي ماتحشميش الله واحد مايبغيك فل الجزاير فهمتي,1.0,1.0
140,http://www.youtube.com/channel/UCA4D8xvCnKn1EsoB_57uuwg,حشمت روحك الله يهديك كنتي تهدري على شيماء راحتي دخلتي في موضوع اخر الله يهديك وصاي,1.0,1.0
141,http://www.youtube.com/channel/UCYfi-hTNDiCmA4vYMMAlQGg,والله عندك حق يا مونيا,0.0,1.0
142,http://www.youtube.com/channel/UCcb-1aNYqpjh5yXvGvhtIrw,يعطيك الصحة لخصتي كلش,0.0,1.0
143,http://www.youtube.com/channel/UCOHSOo5XCRzHcOHKkgZMp3w,اه يوجه الخبزة ماكيش مربية مرباوكش ولديك,1.0,1.0
144,http://www.youtube.com/channel/UC2f2-MjS5E67PkV_lvqZ3rA,عندها الحق,0.0,1.0
145,http://www.youtube.com/channel/UC16UBb5dSVLSBSNxGHVMo4A,نحي شوشة تاع على جبهتك نشوفك بلاما تغطي جبهتك شوفي نهار تعرفو توصلو الفكرة بادب روحو,1.0,1.0
146,http://www.youtube.com/channel/UCShLprNtsLyGYXI7KxbJh4g,ربي يهديك ومواصفات ڨاع لي وصفتيها بينا هي انتي,1.0,1.0
147,http://www.youtube.com/channel/UC8qAiKpbgCypESFa8A4Il4w,مقالتش الشعب كامل اذا ديرونجاتك معنتها البروبلام راه فيك,1.0,1.0
148,http://www.youtube.com/channel/UCIUmcDNIbjSGiDeOaBybdDA,اولاحنى حقرنا شيماء ولا هضرنا فيها ديجا حنايا منهدروج فبنت بلادنا الله يرحمها كنت نت ممثلة تاعي لي نبغها بصح وصلتنا انا عمري 11 وغاضتني منقدش نوصل ولاد بلادنا سبوع كيفاش قديتي تهضري فولاد بلادك,1.0,1.0
149,http://www.youtube.com/channel/UCIUmcDNIbjSGiDeOaBybdDA,علاش مدرتليش جام,0.0,1.0
150,http://www.youtube.com/channel/UC-cLFjq03rqPgrui5WWUC2g,عاملة كي 5 تع صبح,1.0,1.0
151,http://www.youtube.com/channel/UC-cLFjq03rqPgrui5WWUC2g,روحي ترقدي على روحك,1.0,1.0
152,http://www.youtube.com/channel/UCSiD1cBRNotYskvs6MegXoA,الله غالب ختنا منا طلقت فيديو نحشمو منها ماتسمعي ملايرضيك من شتى انواع تطياح,1.0,1.0
153,http://www.youtube.com/channel/UC3jwQNuKcuBXI7fmkIRO0JQ,ملغيرة كنتو تسناو فيها كاش ما تغلط او تفصفوها عندها لحق واش قالت,0.0,1.0
154,http://www.youtube.com/channel/UCLEEnW4DnzmJfN4h69Opkgg,فهمت شا قالت بصح لوكان قالتها بطريقة شوية محترمة مشي بالهجوم باسكو المعايرة شوبة بزاف,0.0,1.0
155,http://www.youtube.com/channel/UClpTx3QT5zWJX8GPbrpXugg,وجه الميزيرية,1.0,1.0
156,http://www.youtube.com/channel/UC3iIkhdQmna2YU491KFSZ4A,الله غالب هذو هوما الجزايريين جامي يتبدلو همج,1.0,1.0
157,http://www.youtube.com/channel/UCMaUs6WHaZtVrzZEDTPqtBQ,الاسلام متنطقيش في فماك يا مهبولا افهمي روحك وش راكي تهدري,1.0,1.0
158,http://www.youtube.com/channel/UCiuflTevPxfS2UBQSzt0exg,عندك صح كلامها صح,0.0,1.0
159,http://www.youtube.com/channel/UCUyzKuzsfNHn3JE9YGz_YZg,شكون كيفي بزاف هضرة ومافهم والو انا باغي جملة مفيدة جزايريين بعزنا وواحد مايهزنا,0.0,1.0
160,http://www.youtube.com/channel/UCABX74Ou0VEYYKX4wJh_dqg,وعذاب القبر نسيتيه,1.0,1.0
161,http://www.youtube.com/channel/UCZxizLIspPgwPOMS23h3MAQ,وقيلا ركي حسب روحك فوڨ الازم يا جبهة الدلاعة,1.0,1.0
162,http://www.youtube.com/channel/UCUfLM2BAd9Z_XAb7xfjTmIw,عندها الحق شعب جايح,1.0,1.0
